"fecha","neto"
"2011-09-25","0"
"2011-09-26","0"
"2011-09-27","0"
"2011-09-28","0"
"2011-09-29","0"
"2011-09-30","0"
"2011-10-01","0"
"2011-10-02","0"
"2011-10-04","0"
"2011-10-05","0"
"2011-10-06","0"
"2011-10-07","0"
"2011-10-08","0"
"2011-10-09","0"
"2011-10-10","0"
"2011-10-11","0"
"2011-10-13","0"
"2011-10-15","0"
"2011-10-18","0"
"2011-10-19","0"
"2011-10-20","0"
"2011-10-22","0"
"2011-10-23","0"
"2011-10-25","0"
"2011-11-06","0"
"2011-11-07","0"
"2011-11-15","0"
"2012-03-18","0"
"2012-03-22","0"
"2012-03-25","0"
"2012-03-26","0"
"2012-03-27","0"
"2012-03-29","0"
"2012-03-30","0"
"2012-03-31","0"
"2012-04-01","0"
"2012-04-02","0"
"2012-04-03","0"
"2012-04-04","0"
"2012-04-05","0"
"2012-04-06","0"
"2012-04-07","0"
"2012-04-08","0"
"2012-04-09","0"
"2012-04-10","0"
"2012-04-11","0"
"2012-04-14","0"
"2012-04-15","0"
"2012-04-16","0"
"2012-04-18","0"
"2012-04-19","0"
"2012-04-20","0"
"2012-04-21","0"
"2012-04-22","0"
"2012-04-23","0"
"2012-04-24","0"
"2012-04-25","0"
"2012-04-26","0"
"2012-04-27","0"
"2012-04-28","0"
"2012-04-29","0"
"2012-04-30","0"
"2012-05-01","0"
"2012-05-02","0"
"2012-05-03","0"
"2012-05-04","0"
"2012-05-05","0"
"2012-05-06","0"
"2012-05-07","0"
"2012-05-08","0"
"2012-05-09","0"
"2012-05-10","0"
"2012-05-12","0"
"2012-05-13","0"
"2012-05-14","0"
"2012-05-16","0"
"2012-05-17","0"
"2012-05-18","0"
"2012-05-19","0"
"2012-05-20","0"
"2012-05-21","0"
"2012-05-22","0"
"2012-05-23","0"
"2012-05-24","0"
"2012-05-25","0"
"2012-05-26","0"
"2012-05-27","0"
"2012-05-28","0"
"2012-05-29","0"
"2012-05-30","0"
"2012-05-31","0"
"2012-06-01","0"
"2012-06-02","0"
"2012-06-03","0"
"2012-06-04","0"
"2012-06-05","0"
"2012-06-06","0"
"2012-06-07","0"
"2012-06-08","0"
"2012-06-09","0"
"2012-06-10","0"
"2012-06-11","0"
"2012-06-12","0"
"2012-06-13","0"
"2012-06-14","0"
"2012-06-15","0"
"2012-06-16","0"
"2012-06-17","0"
"2012-06-18","0"
"2012-06-19","0"
"2012-06-20","0"
"2012-06-21","0"
"2012-06-22","0"
"2012-06-24","0"
"2012-06-25","0"
"2012-06-27","0"
"2012-06-29","0"
"2012-06-30","0"
"2012-07-01","0"
"2012-07-02","0"
"2012-07-03","0"
"2012-07-04","0"
"2012-07-05","0"
"2012-07-06","0"
"2012-07-07","0"
"2012-07-08","0"
"2012-07-09","0"
"2012-07-10","0"
"2012-07-11","0"
"2012-07-12","0"
"2012-07-13","0"
"2012-07-14","0"
"2012-07-15","0"
"2012-07-16","0"
"2012-07-17","0"
"2012-07-18","0"
"2012-07-19","0"
"2012-07-20","0"
"2012-07-21","0"
"2012-07-22","0"
"2012-07-23","0"
"2012-07-24","0"
"2012-07-25","0"
"2012-07-26","0"
"2012-07-27","0"
"2012-07-28","0"
"2012-07-29","0"
"2012-07-30","0"
"2012-07-31","0"
"2012-08-01","0"
"2012-08-02","0"
"2012-08-03","0"
"2012-08-04","0"
"2012-08-05","0"
"2012-08-06","0"
"2012-08-07","0"
"2012-08-08","0"
"2012-08-09","0"
"2012-08-10","0"
"2012-08-11","0"
"2012-08-12","0"
"2012-08-13","0"
"2012-08-14","0"
"2012-08-15","0"
"2012-08-16","0"
"2012-08-17","0"
"2012-08-18","0"
"2012-08-19","0"
"2012-08-20","0"
"2012-08-21","0"
"2012-08-22","0"
"2012-08-23","0"
"2012-08-24","0"
"2012-08-25","0"
"2012-08-26","0"
"2012-08-27","0"
"2012-08-28","0"
"2012-08-29","0"
"2012-08-30","0"
"2012-08-31","0"
"2012-09-01","0"
"2012-09-02","0"
"2012-09-03","0"
"2012-09-04","0"
"2012-09-05","0"
"2012-09-06","0"
"2012-09-07","0"
"2012-09-08","0"
"2012-09-09","0"
"2012-09-10","0"
"2012-09-11","0"
"2012-09-12","0"
"2012-09-13","0"
"2012-09-14","0"
"2012-09-15","0"
"2012-09-16","0"
"2012-09-17","0"
"2012-09-18","0"
"2012-09-19","0"
"2012-09-20","0"
"2012-09-21","0"
"2012-09-22","0"
"2012-09-23","0"
"2012-09-24","0"
"2012-09-26","0"
"2012-09-27","0"
"2012-09-28","0"
"2012-09-29","0"
"2012-09-30","0"
"2012-10-01","0"
"2012-10-02","0"
"2012-10-03","0"
"2012-10-05","0"
"2012-10-06","0"
"2012-10-07","0"
"2012-10-09","0"
"2012-10-10","0"
"2012-10-11","0"
"2012-10-12","0"
"2012-10-13","0"
"2012-10-14","0"
"2012-10-17","0"
"2012-10-19","0"
"2012-10-20","0"
"2012-10-21","0"
"2012-10-22","0"
"2012-10-23","0"
"2012-10-28","0"
"2012-11-04","0"
"2012-11-11","0"
"2012-11-25","0"
"2013-03-13","0"
"2013-03-15","0"
"2013-03-16","0"
"2013-03-17","0"
"2013-03-18","0"
"2013-03-19","0"
"2013-03-20","0"
"2013-03-22","0"
"2013-03-23","0"
"2013-03-24","0"
"2013-03-25","0"
"2013-03-27","0"
"2013-03-28","0"
"2013-03-29","0"
"2013-03-30","0"
"2013-03-31","0"
"2013-04-02","0"
"2013-04-03","0"
"2013-04-04","0"
"2013-04-06","0"
"2013-04-07","0"
"2013-04-08","0"
"2013-04-09","0"
"2013-04-10","0"
"2013-04-11","0"
"2013-04-13","0"
"2013-04-14","0"
"2013-04-15","0"
"2013-04-16","0"
"2013-04-17","0"
"2013-04-18","0"
"2013-04-19","0"
"2013-04-20","0"
"2013-04-21","0"
"2013-04-22","0"
"2013-04-24","0"
"2013-04-25","0"
"2013-04-26","0"
"2013-04-27","0"
"2013-04-28","0"
"2013-04-29","0"
"2013-04-30","0"
"2013-05-01","0"
"2013-05-03","0"
"2013-05-04","0"
"2013-05-09","0"
"2013-05-11","0"
"2013-05-12","0"
"2013-05-13","0"
"2013-05-15","0"
"2013-05-16","0"
"2013-05-17","0"
"2013-05-18","0"
"2013-05-19","0"
"2013-05-20","0"
"2013-05-25","0"
"2013-05-26","0"
"2013-05-30","0"
"2013-05-31","0"
"2013-06-02","0"
"2013-06-03","0"
"2013-06-04","0"
"2013-06-05","0"
"2013-06-07","0"
"2013-06-08","0"
"2013-06-09","0"
"2013-06-11","0"
"2013-06-12","0"
"2013-06-13","0"
"2013-06-14","0"
"2013-06-15","0"
"2013-06-16","0"
"2013-06-17","0"
"2013-06-18","0"
"2013-06-19","0"
"2013-06-20","0"
"2013-06-21","0"
"2013-06-22","0"
"2013-06-23","0"
"2013-06-24","0"
"2013-06-25","0"
"2013-06-26","0"
"2013-06-27","0"
"2013-06-28","0"
"2013-06-29","0"
"2013-06-30","0"
"2013-07-01","0"
"2013-07-02","0"
"2013-07-03","0"
"2013-07-04","0"
"2013-07-05","0"
"2013-07-06","0"
"2013-07-07","0"
"2013-07-08","0"
"2013-07-09","0"
"2013-07-10","0"
"2013-07-11","0"
"2013-07-12","0"
"2013-07-13","0"
"2013-07-14","0"
"2013-07-15","0"
"2013-07-16","0"
"2013-07-17","0"
"2013-07-18","0"
"2013-07-19","0"
"2013-07-20","0"
"2013-07-21","0"
"2013-07-22","0"
"2013-07-23","0"
"2013-07-24","0"
"2013-07-25","0"
"2013-07-26","0"
"2013-07-27","0"
"2013-07-28","0"
"2013-07-29","0"
"2013-07-30","0"
"2013-07-31","0"
"2013-08-01","0"
"2013-08-02","0"
"2013-08-03","0"
"2013-08-04","0"
"2013-08-05","0"
"2013-08-06","0"
"2013-08-07","0"
"2013-08-08","0"
"2013-08-09","0"
"2013-08-10","0"
"2013-08-11","0"
"2013-08-12","0"
"2013-08-13","0"
"2013-08-14","0"
"2013-08-15","0"
"2013-08-16","0"
"2013-08-17","0"
"2013-08-18","0"
"2013-08-19","0"
"2013-08-20","0"
"2013-08-21","0"
"2013-08-22","0"
"2013-08-23","0"
"2013-08-24","0"
"2013-08-25","0"
"2013-08-26","0"
"2013-08-27","0"
"2013-08-28","0"
"2013-08-29","0"
"2013-08-30","0"
"2013-08-31","0"
"2013-09-01","0"
"2013-09-02","0"
"2013-09-03","0"
"2013-09-04","0"
"2013-09-05","0"
"2013-09-06","0"
"2013-09-07","0"
"2013-09-08","0"
"2013-09-09","0"
"2013-09-10","0"
"2013-09-11","0"
"2013-09-12","0"
"2013-09-13","0"
"2013-09-14","0"
"2013-09-15","0"
"2013-09-16","0"
"2013-09-17","0"
"2013-09-18","0"
"2013-09-19","0"
"2013-09-20","0"
"2013-09-21","0"
"2013-09-22","0"
"2013-09-23","0"
"2013-09-24","0"
"2013-09-25","0"
"2013-09-26","0"
"2013-09-27","0"
"2013-09-28","0"
"2013-09-29","0"
"2013-09-30","0"
"2013-10-01","0"
"2013-10-02","0"
"2013-10-03","0"
"2013-10-05","0"
"2013-10-06","0"
"2013-10-07","0"
"2013-10-08","0"
"2013-10-10","0"
"2013-10-12","0"
"2013-10-13","0"
"2013-10-14","0"
"2013-10-17","0"
"2013-10-18","0"
"2013-10-20","0"
"2013-10-21","0"
"2013-10-22","0"
"2013-10-23","0"
"2013-10-24","0"
"2013-10-25","0"
"2013-10-27","0"
"2013-10-28","0"
"2013-10-31","0"
"2013-11-10","0"
"2014-04-11","0"
"2014-04-12","0"
"2014-04-13","0"
"2014-04-15","0"
"2014-04-16","0"
"2014-04-17","0"
"2014-04-18","0"
"2014-04-19","0"
"2014-04-20","0"
"2014-04-21","0"
"2014-04-22","0"
"2014-04-23","0"
"2014-04-24","0"
"2014-04-25","0"
"2014-04-26","0"
"2014-04-27","0"
"2014-04-28","0"
"2014-04-29","0"
"2014-04-30","0"
"2014-05-01","0"
"2014-05-02","0"
"2014-05-03","0"
"2014-05-04","0"
"2014-05-05","0"
"2014-05-06","0"
"2014-05-07","0"
"2014-05-08","0"
"2014-05-09","0"
"2014-05-11","0"
"2014-05-12","0"
"2014-05-13","0"
"2014-05-14","0"
"2014-05-15","0"
"2014-05-16","0"
"2014-05-17","0"
"2014-05-18","0"
"2014-05-20","0"
"2014-05-22","0"
"2014-05-23","0"
"2014-05-24","0"
"2014-05-25","0"
"2014-05-26","0"
"2014-05-27","0"
"2014-05-29","0"
"2014-05-30","0"
"2014-05-31","0"
"2014-06-01","0"
"2014-06-02","0"
"2014-06-03","0"
"2014-06-04","0"
"2014-06-05","0"
"2014-06-07","0"
"2014-06-08","0"
"2014-06-10","0"
"2014-06-11","0"
"2014-06-12","0"
"2014-06-13","0"
"2014-06-14","0"
"2014-06-15","0"
"2014-06-16","0"
"2014-06-17","0"
"2014-06-18","0"
"2014-06-19","0"
"2014-06-20","0"
"2014-06-21","0"
"2014-06-22","0"
"2014-06-23","0"
"2014-06-24","0"
"2014-06-25","0"
"2014-06-26","0"
"2014-06-27","0"
"2014-06-28","0"
"2014-06-29","0"
"2014-06-30","0"
"2014-07-01","0"
"2014-07-02","0"
"2014-07-04","0"
"2014-07-05","0"
"2014-07-06","0"
"2014-07-07","0"
"2014-07-09","0"
"2014-07-10","0"
"2014-07-11","0"
"2014-07-12","0"
"2014-07-13","0"
"2014-07-14","0"
"2014-07-15","0"
"2014-07-16","0"
"2014-07-17","0"
"2014-07-18","0"
"2014-07-19","0"
"2014-07-20","0"
"2014-07-21","0"
"2014-07-22","0"
"2014-07-23","0"
"2014-07-24","0"
"2014-07-25","0"
"2014-07-26","0"
"2014-07-27","0"
"2014-07-28","0"
"2014-07-29","0"
"2014-07-30","0"
"2014-07-31","0"
"2014-08-01","0"
"2014-08-02","0"
"2014-08-03","0"
"2014-08-04","0"
"2014-08-05","0"
"2014-08-06","0"
"2014-08-07","0"
"2014-08-08","0"
"2014-08-09","0"
"2014-08-10","0"
"2014-08-11","0"
"2014-08-12","0"
"2014-08-13","0"
"2014-08-14","0"
"2014-08-15","0"
"2014-08-16","0"
"2014-08-17","0"
"2014-08-18","0"
"2014-08-19","0"
"2014-08-20","0"
"2014-08-21","0"
"2014-08-22","0"
"2014-08-23","0"
"2014-08-24","0"
"2014-08-25","0"
"2014-08-26","0"
"2014-08-27","0"
"2014-08-28","0"
"2014-08-29","0"
"2014-08-30","0"
"2014-08-31","0"
"2014-09-01","0"
"2014-09-02","0"
"2014-09-03","0"
"2014-09-04","0"
"2014-09-05","0"
"2014-09-06","0"
"2014-09-07","0"
"2014-09-08","0"
"2014-09-09","0"
"2014-09-10","0"
"2014-09-11","0"
"2014-09-12","0"
"2014-09-13","0"
"2014-09-14","0"
"2014-09-15","0"
"2014-09-16","0"
"2014-09-17","0"
"2014-09-18","0"
"2014-09-19","0"
"2014-09-20","0"
"2014-09-21","0"
"2014-09-22","0"
"2014-09-23","0"
"2014-09-24","0"
"2014-09-25","0"
"2014-09-26","0"
"2014-09-27","0"
"2014-09-28","0"
"2014-09-29","0"
"2014-09-30","0"
"2014-10-01","0"
"2014-10-02","0"
"2014-10-03","0"
"2014-10-04","0"
"2014-10-05","0"
"2014-10-06","0"
"2014-10-07","0"
"2014-10-08","0"
"2014-10-09","0"
"2014-10-10","0"
"2014-10-11","0"
"2014-10-12","0"
"2014-10-13","0"
"2014-10-14","0"
"2014-10-15","0"
"2014-10-16","0"
"2014-10-17","0"
"2014-10-18","0"
"2014-10-19","0"
"2014-10-21","0"
"2014-10-23","0"
"2014-11-02","0"
"2015-04-01","0"
"2015-04-02","0"
"2015-04-03","0"
"2015-04-04","0"
"2015-04-05","0"
"2015-04-06","0"
"2015-04-07","0"
"2015-04-12","0"
"2015-04-13","0"
"2015-04-15","0"
"2015-04-18","0"
"2015-04-19","0"
"2015-04-20","0"
"2015-04-21","0"
"2015-04-24","0"
"2015-04-25","0"
"2015-04-26","0"
"2015-04-27","0"
"2015-04-28","0"
"2015-04-30","0"
"2015-05-01","0"
"2015-05-02","0"
"2015-05-03","0"
"2015-05-04","0"
"2015-05-05","0"
"2015-05-06","0"
"2015-05-07","0"
"2015-05-08","0"
"2015-05-09","0"
"2015-05-10","0"
"2015-05-11","0"
"2015-05-14","0"
"2015-05-16","0"
"2015-05-17","0"
"2015-05-18","0"
"2015-05-19","0"
"2015-05-23","0"
"2015-05-24","0"
"2015-05-25","0"
"2015-05-26","0"
"2015-05-27","0"
"2015-05-28","0"
"2015-05-29","0"
"2015-05-30","0"
"2015-05-31","0"
"2015-06-01","0"
"2015-06-02","0"
"2015-06-03","0"
"2015-06-04","0"
"2015-06-05","0"
"2015-06-06","0"
"2015-06-07","0"
"2015-06-08","0"
"2015-06-09","0"
"2015-06-10","0"
"2015-06-11","0"
"2015-06-12","0"
"2015-06-13","0"
"2015-06-14","0"
"2015-06-15","0"
"2015-06-16","0"
"2015-06-17","0"
"2015-06-18","0"
"2015-06-19","0"
"2015-06-20","0"
"2015-06-21","0"
"2015-06-22","0"
"2015-06-23","0"
"2015-06-24","0"
"2015-06-25","0"
"2015-06-26","0"
"2015-06-27","0"
"2015-06-28","0"
"2015-06-29","0"
"2015-06-30","0"
"2015-07-01","0"
"2015-07-02","0"
"2015-07-03","0"
"2015-07-04","0"
"2015-07-05","0"
"2015-07-06","0"
"2015-07-07","0"
"2015-07-08","0"
"2015-07-09","0"
"2015-07-10","0"
"2015-07-11","0"
"2015-07-12","0"
"2015-07-13","0"
"2015-07-14","0"
"2015-07-15","0"
"2015-07-16","0"
"2015-07-17","0"
"2015-07-18","0"
"2015-07-19","0"
"2015-07-20","0"
"2015-07-21","0"
"2015-07-22","0"
"2015-07-23","0"
"2015-07-24","0"
"2015-07-25","0"
"2015-07-26","0"
"2015-07-27","0"
"2015-07-28","0"
"2015-07-29","0"
"2015-07-30","0"
"2015-07-31","0"
"2015-08-01","0"
"2015-08-02","0"
"2015-08-03","0"
"2015-08-04","0"
"2015-08-05","0"
"2015-08-06","0"
"2015-08-07","0"
"2015-08-08","0"
"2015-08-09","0"
"2015-08-10","0"
"2015-08-11","0"
"2015-08-12","0"
"2015-08-13","0"
"2015-08-14","0"
"2015-08-15","0"
"2015-08-16","0"
"2015-08-17","0"
"2015-08-18","0"
"2015-08-19","0"
"2015-08-20","0"
"2015-08-21","0"
"2015-08-22","0"
"2015-08-23","0"
"2015-08-24","0"
"2015-08-25","0"
"2015-08-26","0"
"2015-08-27","0"
"2015-08-28","0"
"2015-08-29","0"
"2015-08-30","0"
"2015-08-31","0"
"2015-09-01","0"
"2015-09-02","0"
"2015-09-03","0"
"2015-09-04","0"
"2015-09-05","0"
"2015-09-06","0"
"2015-09-07","0"
"2015-09-08","0"
"2015-09-09","0"
"2015-09-10","0"
"2015-09-11","0"
"2015-09-12","0"
"2015-09-13","0"
"2015-09-14","0"
"2015-09-15","0"
"2015-09-16","0"
"2015-09-17","0"
"2015-09-19","0"
"2015-09-21","0"
"2015-09-22","0"
"2015-09-23","0"
"2015-09-26","0"
"2015-09-27","0"
"2015-09-28","0"
"2015-09-30","0"
"2015-10-03","0"
"2015-10-04","0"
"2015-10-05","0"
"2016-03-20","0"
"2016-03-23","0"
"2016-03-24","0"
"2016-03-25","0"
"2016-03-26","0"
"2016-03-27","0"
"2016-03-28","0"
"2016-03-29","0"
"2016-03-31","0"
"2016-04-05","0"
"2016-04-06","0"
"2016-04-08","0"
"2016-04-10","0"
"2016-04-12","0"
"2016-04-13","0"
"2016-04-14","0"
"2016-04-15","0"
"2016-04-16","0"
"2016-04-17","0"
"2016-04-18","0"
"2016-04-19","0"
"2016-04-20","0"
"2016-04-21","0"
"2016-04-22","0"
"2016-04-23","0"
"2016-04-24","0"
"2016-04-25","0"
"2016-04-26","0"
"2016-04-27","0"
"2016-04-28","0"
"2016-04-29","0"
"2016-04-30","0"
"2016-05-01","0"
"2016-05-02","0"
"2016-05-03","0"
"2016-05-04","0"
"2016-05-05","0"
"2016-05-06","0"
"2016-05-07","0"
"2016-05-08","0"
"2016-05-09","0"
"2016-05-10","0"
"2016-05-11","0"
"2016-05-12","0"
"2016-05-13","0"
"2016-05-14","0"
"2016-05-15","0"
"2016-05-16","0"
"2016-05-17","0"
"2016-05-18","0"
"2016-05-19","0"
"2016-05-20","0"
"2016-05-21","0"
"2016-05-22","0"
"2016-05-23","0"
"2016-05-24","0"
"2016-05-25","0"
"2016-05-26","0"
"2016-05-28","0"
"2016-05-29","0"
"2016-05-30","0"
"2016-05-31","0"
"2016-06-01","0"
"2016-06-02","0"
"2016-06-03","0"
"2016-06-04","0"
"2016-06-05","0"
"2016-06-06","0"
"2016-06-07","0"
"2016-06-08","0"
"2016-06-09","0"
"2016-06-10","0"
"2016-06-11","0"
"2016-06-12","0"
"2016-06-13","0"
"2016-06-14","0"
"2016-06-15","0"
"2016-06-16","0"
"2016-06-17","0"
"2016-06-18","0"
"2016-06-19","0"
"2016-06-20","0"
"2016-06-24","0"
"2016-06-25","0"
"2016-06-26","0"
"2016-06-27","0"
"2016-06-28","0"
"2016-06-29","0"
"2016-07-01","0"
"2016-07-02","0"
"2016-07-03","0"
"2016-07-04","0"
"2016-07-05","0"
"2016-07-06","0"
"2016-07-07","0"
"2016-07-09","0"
"2016-07-10","0"
"2016-07-11","0"
"2016-07-12","0"
"2016-07-14","0"
"2016-07-15","0"
"2016-07-16","0"
"2016-07-17","0"
"2016-07-18","0"
"2016-07-19","0"
"2016-07-20","0"
"2016-07-21","0"
"2016-07-22","0"
"2016-07-23","0"
"2016-07-24","0"
"2016-07-25","0"
"2016-07-26","0"
"2016-07-27","0"
"2016-07-28","0"
"2016-07-29","0"
"2016-07-30","0"
"2016-07-31","0"
"2016-08-01","0"
"2016-08-02","0"
"2016-08-03","0"
"2016-08-04","0"
"2016-08-05","0"
"2016-08-06","0"
"2016-08-07","0"
"2016-08-08","0"
"2016-08-09","0"
"2016-08-10","0"
"2016-08-11","0"
"2016-08-12","0"
"2016-08-13","0"
"2016-08-14","0"
"2016-08-15","0"
"2016-08-16","0"
"2016-08-17","0"
"2016-08-18","0"
"2016-08-19","0"
"2016-08-20","0"
"2016-08-21","0"
"2016-08-22","0"
"2016-08-23","0"
"2016-08-24","0"
"2016-08-25","0"
"2016-08-26","0"
"2016-08-27","0"
"2016-08-28","0"
"2016-08-29","0"
"2016-08-30","0"
"2016-08-31","0"
"2016-09-01","0"
"2016-09-02","0"
"2016-09-03","0"
"2016-09-04","0"
"2016-09-05","0"
"2016-09-06","0"
"2016-09-07","0"
"2016-09-08","0"
"2016-09-09","0"
"2016-09-10","0"
"2016-09-11","0"
"2016-09-12","0"
"2016-09-13","0"
"2016-09-14","0"
"2016-09-15","0"
"2016-09-16","0"
"2016-09-17","0"
"2016-09-18","0"
"2016-09-19","0"
"2016-09-20","0"
"2016-09-21","0"
"2016-09-22","0"
"2016-09-23","0"
"2016-09-24","0"
"2016-09-25","0"
"2016-09-27","0"
"2016-09-28","0"
"2016-09-29","0"
"2016-10-01","0"
"2016-10-02","0"
"2016-10-05","0"
"2016-10-09","0"
"2017-04-08","0"
"2017-04-11","0"
"2017-04-12","0"
"2017-04-13","0"
"2017-04-14","0"
"2017-04-15","0"
"2017-04-16","0"
"2017-04-17","0"
"2017-04-18","0"
"2017-04-19","0"
"2017-04-20","0"
"2017-04-21","0"
"2017-04-22","0"
"2017-04-23","0"
"2017-04-24","0"
"2017-04-25","0"
"2017-04-26","0"
"2017-04-27","0"
"2017-04-28","0"
"2017-04-29","0"
"2017-04-30","0"
"2017-05-01","0"
"2017-05-02","0"
"2017-05-03","0"
"2017-05-04","0"
"2017-05-05","0"
"2017-05-06","0"
"2017-05-07","0"
"2017-05-08","0"
"2017-05-09","0"
"2017-05-10","0"
"2017-05-11","0"
"2017-05-12","0"
"2017-05-13","0"
"2017-05-14","0"
"2017-05-15","0"
"2017-05-16","0"
"2017-05-17","0"
"2017-05-18","0"
"2017-05-19","0"
"2017-05-20","0"
"2017-05-21","0"
"2017-05-22","0"
"2017-05-24","0"
"2017-05-25","0"
"2017-05-26","0"
"2017-05-27","0"
"2017-05-28","0"
"2017-05-29","0"
"2017-05-30","0"
"2017-05-31","0"
"2017-06-01","0"
"2017-06-02","0"
"2017-06-03","0"
"2017-06-04","0"
"2017-06-05","0"
"2017-06-06","0"
"2017-06-07","0"
"2017-06-08","0"
"2017-06-09","0"
"2017-06-10","0"
"2017-06-11","0"
"2017-06-12","0"
"2017-06-13","0"
"2017-06-14","0"
"2017-06-15","0"
"2017-06-16","0"
"2017-06-17","0"
"2017-06-18","0"
"2017-06-19","0"
"2017-06-20","0"
"2017-06-21","0"
"2017-06-23","0"
"2017-06-24","0"
"2017-06-25","0"
"2017-06-26","0"
"2017-06-27","0"
"2017-06-28","0"
"2017-06-29","0"
"2017-06-30","0"
"2017-07-01","0"
"2017-07-02","0"
"2017-07-03","0"
"2017-07-04","0"
"2017-07-05","0"
"2017-07-06","0"
"2017-07-07","0"
"2017-07-08","0"
"2017-07-09","0"
"2017-07-10","0"
"2017-07-11","0"
"2017-07-12","0"
"2017-07-13","0"
"2017-07-14","0"
"2017-07-15","0"
"2017-07-16","0"
"2017-07-17","0"
"2017-07-18","0"
"2017-07-19","0"
"2017-07-20","0"
"2017-07-21","0"
"2017-07-22","0"
"2017-07-23","0"
"2017-07-24","0"
"2017-07-25","0"
"2017-07-26","0"
"2017-07-27","0"
"2017-07-28","0"
"2017-07-29","0"
"2017-07-30","0"
"2017-07-31","0"
"2017-08-01","0"
"2017-08-02","0"
"2017-08-03","0"
"2017-08-04","0"
"2017-08-05","0"
"2017-08-06","0"
"2017-08-07","0"
"2017-08-08","0"
"2017-08-09","0"
"2017-08-10","0"
"2017-08-11","0"
"2017-08-12","0"
"2017-08-13","0"
"2017-08-14","0"
"2017-08-15","0"
"2017-08-16","0"
"2017-08-17","0"
"2017-08-18","0"
"2017-08-19","0"
"2017-08-20","0"
"2017-08-21","0"
"2017-08-22","0"
"2017-08-23","0"
"2017-08-24","0"
"2017-08-26","0"
"2017-08-27","0"
"2017-08-28","0"
"2017-08-29","0"
"2017-08-30","0"
"2017-08-31","0"
"2017-09-02","0"
"2017-09-03","0"
"2017-09-04","0"
"2017-09-05","0"
"2017-09-06","0"
"2017-09-07","0"
"2017-09-08","0"
"2017-09-09","0"
"2017-09-10","0"
"2017-09-11","0"
"2017-09-12","0"
"2017-09-13","0"
"2017-09-14","0"
"2017-09-15","0"
"2017-09-16","0"
"2017-09-17","0"
"2017-09-19","0"
"2017-09-20","0"
"2017-09-22","0"
"2017-09-23","0"
"2017-09-24","0"
"2017-09-25","0"
"2017-09-27","0"
"2017-09-28","0"
"2017-09-29","0"
"2017-09-30","0"
"2017-10-01","0"
"2018-03-21","0"
"2018-03-22","0"
"2018-03-23","0"
"2018-03-24","0"
"2018-03-25","0"
"2018-03-26","0"
"2018-03-27","0"
